"Expediente","Número resolución","Fecha Publicación","Alcance Gaceta","Gaceta","Producto","Tipo de Cambio","Precio Referencia Internacional","Precio Referencia Internacional en colones","Costo adquisión dólar por barril","Costo adquisión en colones por litro","Otros Ingresos Prorrateados","Asignación Subsidio Pescadores","Asignación subsidio Política Sectorial","Asignación subsidio Políticas del Gobierno","Subsidio Pescadores","Subsidio Política Sectorial","Subsidio cruzado políticas de gobierno","Diferencial de precios","Liquidación extraordinaria","Impuesto Único","Canon","Margen de operación de Recope","Rendimiento sobre Base Tarifaria","Liquidación Ordinaria","Precio en terminal sin impuesto","Ley 9840","Precio en terminal con impuesto","Margen comercializador","Precio final sin punto fijo (Peddlers)","Margen Estaciones Terrestres","Margen Estaciones Aéreas","Flete estaciones de servicio","Margen Envasador","Precio estaciones de servicio sin IVA","IVA de Transportista","Precio final en estaciones de servicio
","Margen Distribuidor y Agencias","Margen Detallista","Precio gas por litro en detallistas
","Precio Terminal sin impuesto ni subsidio Sectorial","Rige","Límite Inferior Banda","Límite Superior Banda","Densidad de referencia expresado en kgs","Precio en terminal con impuesto masa","Precio final sin punto fijo masa (Peddlers)","Margen de comercializador masa","ID SIET","Observaciones"
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Gasolina RON 95","509.23273","","","88.26387","282.70772","","0.12091","13.43594","","","","","2.11924","-1.17921","275","0.67676","26.72986","10.97","","335.58122","","610.58122","3.75","614.33122","56.68","","12.77","","680.03122","1.66","682","","","","322.14528","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Gasolina RON 91","509.23273","","","85.6104","274.20868","","0.12091","13.43594","","","","","11.2019","-0.15846","262.75","0.67676","26.50986","11.17","","337.16559","","599.91559","3.75","603.66559","56.68","","12.77","","669.36559","1.66","671","","","","323.72964","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Gasolina RON 91 (pescadores)","509.23273","","","85.6104","274.20868","","","","","-17.3488","","","","","","","26.50986","","","283.36974","","283.36974","","","","","","","","","","","","","283.36974","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Diésel para uso automotriz de 50 ppm de azufre","509.23273","","","98.84433","316.59676","","0.12091","13.43594","","","","","-2.07563","-1.45748","155.5","0.67676","26.77986","11.64","","365.71713","","521.21713","3.75","524.96713","56.68","","12.77","","590.66713","1.66","592","","","","352.28118","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Diésel uso automotriz 50 ppm azufre (pescadores)","509.23273","","","98.84433","316.59676","","","","","-17.39986","","","","","","","26.77986","","","325.97677","","325.97677","","","","","","","","","","","","","325.97677","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Diésel marino","509.23273","","","268.30825","859.38687","","","","","","","","","","155.5","0.67676","26.77986","11.64","","898.48349","","1053.98349","","","","","","","","","","","","","898.48349","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Keroseno","509.23273","","","100.58395","322.16872","","0.12091","13.43594","","","","","","-0.97226","75","0.67676","25.10986","10.27","","370.80994","","445.80994","3.75","449.55994","56.68","","12.77","","515.25994","1.66","517","","","","357.37399","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Bunker","509.23273","","","75.98698","243.38503","","0.12091","","","","-48.68349","","0.57431","0.8786","25.5","0.67676","50.12986","13.45","","260.53198","","286.03198","3.75","289.78198","","","","","","","","","","","309.21547","True","","","991.65","288.44046","292.22204","3.78158","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Bunker Térmico ICE","509.23273","","","83.60991","267.80114","","","","","","10.31971","","","","25.5","0.67676","14.89986","3.19","","296.88747","","322.38747","","","","","","","","","","","","","286.56776","True","","","929.22","346.94418","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Bunker Térmico ICE 2","509.23273","","","76.46287","244.90931","","0.12091","","","","-23.1634","","1.59648","-5.23198","25.5","0.67676","14.89986","3.19","","236.99793","","262.49793","","","","","","","","","","","","","260.16134","True","","","967.2","271.39985","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","IFO 380","509.23273","","","162.38051","520.10207","","","","","","","","","","","0.67676","42.08986","12.72","","575.58869","","575.58869","","","","","","","","","","","","","575.58869","True","557.66","593.52","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Asfalto","509.23273","","","74.97849","240.15486","","","","","","","","5.37137","1.90485","53.25","0.67676","58.85986","16.2","","323.1677","","376.4177","3.75","380.1677","","","","","","","","","","","323.1677","True","","","1024.33333","367.47579","371.13671","3.66092","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Asfalto PG-64-22","509.23273","","","73.9976","237.01307","","0.12091","","","","","","5.37137","1.90485","53.25","0.67676","58.85986","16.2","","320.14682","","373.39682","3.75","377.14682","","","","","","","","","","","320.14682","True","","","1028.5","363.0499","366.69598","3.64609","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Asfalto AC-10","509.23273","","","74.21643","237.71399","","","","","","","","","","53.25","0.67676","59.06707","16.2","","313.65782","","366.90782","3.75","370.65782","","","","","","","","","","","313.65782","True","","","1025.3395","357.84032","361.49765","3.65733","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Diésel pesado o gasóleo","509.23273","","","85.8705","275.04178","","0.12091","13.43594","","","","","","2.91806","51.5","0.67676","22.87986","6.07","","321.14332","","372.64332","3.75","376.39332","","","","","","","","","","","307.70737","True","","","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Emulsión asfáltica rápida (RR)","509.23273","","","48.27947","154.63834","","0.12091","","","","","","","0.08126","40.5","0.67676","27.00986","13.78","","196.30713","","236.80713","3.75","240.55713","","","","","","","","","","","196.30713","True","","","1005.625","235.48254","239.21157","3.72902","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Emulsión asfáltica lenta (RL)","509.23273","","","48.09844","154.0585","","0.12091","","","","","","","-0.11827","40.5","0.67676","16.55986","13.78","","185.07775","","225.57775","3.75","229.32775","","","","","","","","","","","185.07775","True","","","1001","225.3524","229.09866","3.74625","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","LPG (70-30)","509.23273","","","51.00082","163.35479","","0.12091","","","","-56.02585","","3.44366","0.08621","24","0.67676","21.95986","10.56","","144.17633","","168.17633","","","56.68","","","59.86","284.71633","","285","61.645","70.885","","200.20219","True","","","531.44308","316.45221","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","LPG (rico en propano)","509.23273","","","78.20089","250.47616","","","","","","-33.93036","","","","24","0.67676","22.08986","10.56","","249.87242","","273.87242","","","56.68","","","59.86","390.41242","","390","61.645","70.885","","283.80278","True","","","507.5","539.65009","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Av-Gas","509.23273","","","173.47124","555.62552","","0.12091","13.43594","","","","","-77.55","-4.86111","262.75","0.67676","52.34986","30.22","","570.01788","","832.76788","","","","17.27","","","850.03788","","850","","","","556.58194","True","772.68","892.85","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Jet fuel A-1","509.23273","","","89.32836","286.11726","","","","","","","","4.69375","-1.09636","157.5","0.67676","54.12986","14.07","","358.59127","","516.09127","","","","17.27","","","533.36127","","533","","","","358.59127","True","467.74","564.44","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Jet fuel A","509.23273","","","100.58395","322.16872","","0.12091","","","","","","4.69375","-1.09636","157.5","0.67676","54.12986","14.07","","394.76364","","552.26364","","","","17.27","","","569.53364","","570","","","","394.76364","True","503.66","600.86","","","","","",""
"ET-015-2025","RE-0021-IE-2025","17-03-2025","37","51","Nafta pesada","509.23273","","","86.93713","278.4582","","","","","","","","","","38","0.67676","17.69986","10.5","","307.33482","","345.33482","3.75","349.08482","","","","","","","","","","","307.33482","True","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Gasolina RON 95","506.45545","","","84.61024","269.52719","","0.13794","13.84376","","","","","2.11924","-1.17921","275","0.67676","26.72986","10.97","","322.82553","","597.82553","3.75","601.57553","56.68","","12.77","","667.27553","1.66","669","","","","308.98177","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Gasolina RON 91","506.45545","","","79.52267","253.32066","","0.13794","13.84376","","","","","11.2019","-0.15846","262.75","0.67676","26.50986","11.17","","316.70242","","579.45242","3.75","583.20242","56.68","","12.77","","648.90242","1.66","651","","","","302.85866","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Gasolina RON 91 (pescadores)","506.45545","","","79.52267","253.32066","","","","","-17.3488","","","","","","","26.50986","","","262.48172","","262.48172","","","","","","","","","","","","","262.48172","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Diésel para uso automotriz de 50 ppm de azufre","506.45545","","","89.44159","284.91751","","0.13794","13.84376","","","","","-2.07563","-1.45748","155.5","0.67676","26.77986","11.64","","334.46272","","489.96272","3.75","493.71272","56.68","","12.77","","559.41272","1.66","561","","","","320.61895","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Diésel uso automotriz 50 ppm azufre (pescadores)","506.45545","","","89.44159","284.91751","","","","","-17.39986","","","","","","","26.77986","","","294.29751","","294.29751","","","","","","","","","","","","","294.29751","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Diésel marino","506.45545","","","269.77958","859.38687","","","","","","","","","","155.5","0.67676","26.77986","11.64","","898.48349","","1053.98349","","","","","","","","","","","","","898.48349","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Keroseno","506.45545","","","89.81821","286.11726","","0.13794","13.84376","","","","","","-0.97226","75","0.67676","25.10986","10.27","","335.18331","","410.18331","3.75","413.93331","56.68","","12.77","","479.63331","1.66","481","","","","321.33955","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Bunker","506.45545","","","74.72313","238.03163","","0.13794","","","","-48.46786","","0.57431","0.8786","25.5","0.67676","50.12986","13.45","","255.41123","","280.91123","3.75","284.66123","","","","","","","","","","","303.87909","False","","","989.85","283.79172","287.58017","3.78845","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Bunker Térmico ICE","506.45545","","","79.63173","253.66807","","","","","","9.1515","","","","25.5","0.67676","14.89986","3.19","","281.58619","","307.08619","","","","","","","","","","","","","272.43469","False","","","929.22","330.47738","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Bunker Térmico ICE 2","506.45545","","","76.88218","244.90931","","0.13794","","","","-23.18044","","1.59648","-5.23198","25.5","0.67676","14.89986","3.19","","236.99793","","262.49793","","","","","","","","","","","","","260.17837","False","","","967.2","271.39985","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","IFO 380","506.45545","","","163.27096","520.10207","","","","","","","","","","","0.67676","42.08986","12.72","","575.58869","","575.58869","","","","","","","","","","","","","575.58869","False","557.27","593.91","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Asfalto","506.45545","","","75.38965","240.15486","","","","","","","","5.37137","1.90485","53.25","0.67676","58.85986","16.2","","323.1677","","376.4177","3.75","380.1677","","","","","","","","","","","323.1677","False","","","1026.125","366.83416","370.48868","3.65453","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Asfalto PG-64-22","506.45545","","","74.10315","236.05667","","0.13794","","","","","","5.37137","1.90485","53.25","0.67676","58.85986","16.2","","319.20745","","372.45745","3.75","376.20745","","","","","","","","","","","319.20745","False","","","1026.5","362.84213","366.49532","3.65319","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Asfalto AC-10","506.45545","","","75.31633","239.9213","","","","","","","","","","53.25","0.67676","59.06707","16.2","","315.86513","","369.11513","3.75","372.86513","","","","","","","","","","","315.86513","False","","","1025.3395","359.99309","363.65041","3.65733","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Diésel pesado o gasóleo","506.45545","","","81.08739","258.30508","","0.13794","13.84376","","","","","","2.91806","51.5","0.67676","22.87986","6.07","","304.83146","","356.33146","3.75","360.08146","","","","","","","","","","","290.9877","False","","","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Emulsión asfáltica rápida (RR)","506.45545","","","48.94262","155.90744","","0.13794","","","","","","","0.08126","40.5","0.67676","27.00986","13.78","","197.59326","","238.09326","3.75","241.84326","","","","","","","","","","","197.59326","False","","","1005.25","236.8498","240.58021","3.73042","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Emulsión asfáltica lenta (RL)","506.45545","","","49.00327","156.10066","","0.13794","","","","","","","-0.11827","40.5","0.67676","16.55986","13.78","","187.13694","","227.63694","3.75","231.38694","","","","","","","","","","","187.13694","False","","","1012.125","224.90991","228.61499","3.70508","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","LPG (70-30)","506.45545","","","46.25173","147.33557","","0.13794","","","","-58.28665","","3.44366","0.08621","24","0.67676","21.95986","10.56","","125.91333","","149.91333","","","56.68","","","59.86","266.45333","","266","61.131","70.294","","184.19999","False","","","532.17393","281.69988","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","LPG (rico en propano)","506.45545","","","78.62973","250.47616","","","","","","-33.93036","","","","24","0.67676","22.08986","10.56","","249.87242","","273.87242","","","56.68","","","59.86","390.41242","","390","61.131","70.294","","283.80278","False","","","507.5","539.65009","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Av-Gas","506.45545","","","168.20699","535.82586","","0.13794","13.84376","","","","","-77.55","-4.86111","262.75","0.67676","52.34986","30.22","","550.64306","","813.39306","","","","17.27","","","830.66306","","831","","","","536.7993","False","754.91","871.88","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Jet fuel A-1","506.45545","","","89.81821","286.11726","","","","","","","","4.69375","-1.09636","157.5","0.67676","54.12986","14.07","","358.59127","","516.09127","","","","17.27","","","533.36127","","533","","","","358.59127","False","447.37","584.81","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Jet fuel A","506.45545","","","91.14828","290.35421","","0.13794","","","","","","4.69375","-1.09636","157.5","0.67676","54.12986","14.07","","362.96616","","520.46616","","","","17.27","","","537.73616","","538","","","","362.96616","False","451.47","589.46","","","","","",""
"ET-010-2025","RE-0008-IE-2025","05-02-2025","15","23","Nafta pesada","506.45545","","","82.06646","261.42392","","","","","","","","","","38","0.67676","17.69986","10.5","","290.30054","","328.30054","3.75","332.05054","","","","","","","","","","","290.30054","False","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Gasolina RON 95","508.84778","","","85.1796","272.6226","","0.13099","13.199","","","","","2.11924","-1.17921","275","0.67676","26.72986","10.97","","325.26924","","600.26924","3.75","604.01924","56.68","","12.77","","669.71924","1.66","671","","","","312.07024","True","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Gasolina RON 91","508.84778","","","79.1488","253.32066","","0.13099","13.199","","","","","11.2019","-0.15846","262.75","0.67676","26.50986","11.17","","316.05071","","578.80071","3.75","582.55071","56.68","","12.77","","648.25071","1.66","650","","","","302.85171","True","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Gasolina RON 91 (pescadores)","508.84778","","","79.1488","253.32066","","","","","-17.3488","","","","","","","26.50986","","","262.48172","","262.48172","","","","","","","","","","","","","262.48172","True","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Diésel para uso automotriz de 50 ppm de azufre","508.84778","","","91.89237","294.10723","","0.13099","13.199","","","","","-2.07563","-1.45748","155.5","0.67676","26.77986","11.64","","343.00073","","498.50073","3.75","502.25073","56.68","","12.77","","567.95073","1.66","570","","","","329.80173","True","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Diésel uso automotriz 50 ppm azufre (pescadores)","508.84778","","","91.89237","294.10723","","","","","-17.39986","","","","","","","26.77986","","","303.48723","","303.48723","","","","","","","","","","","","","303.48723","True","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Diésel marino","508.84778","","","268.51123","859.38687","","","","","","","","","","155.5","0.67676","26.77986","11.64","","898.48349","","1053.98349","","","","","","","","","","","","","898.48349","True","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Keroseno","508.84778","","","95.8794","306.86797","","0.13099","13.199","","","","","","-0.97226","75","0.67676","25.10986","10.27","","355.28231","","430.28231","3.75","434.03231","56.68","","12.77","","499.73231","1.66","501","","","","342.08331","True","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Bunker","508.84778","","","76.04446","243.38503","","0.13099","","","","-48.69357","","0.57431","0.8786","25.5","0.67676","50.12986","13.45","","260.53198","","286.03198","3.75","289.78198","","","","","","","","","","","309.22555","True","","","989.85","288.96498","292.75343","3.78845","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Bunker Térmico ICE","508.84778","","","81.32974","260.30088","","","","","","8.91689","","","","25.5","0.67676","14.89986","3.19","","287.98439","","313.48439","","","","","","","","","","","","","279.0675","True","","","929.22","337.36294","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Bunker Térmico ICE 2","508.84778","","","76.52072","244.90931","","0.13099","","","","-23.17349","","1.59648","-5.23198","25.5","0.67676","14.89986","3.19","","236.99793","","262.49793","","","","","","","","","","","","","260.17143","True","","","967.2","271.39985","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","IFO 380","508.84778","","","162.50335","520.10207","","","","","","","","","","","0.67676","42.08986","12.72","","575.58869","","575.58869","","","","","","","","","","","","","575.58869","True","557.66","593.52","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Asfalto","508.84778","","","75.03521","240.15486","","","","","","","","5.37137","1.90485","53.25","0.67676","58.85986","16.2","","323.1677","","376.4177","3.75","380.1677","","","","","","","","","","","323.1677","True","","","1026.125","366.83416","370.48868","3.65453","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Asfalto PG-64-22","508.84778","","","74.41404","238.16677","","0.13099","","","","","","5.37137","1.90485","53.25","0.67676","58.85986","16.2","","321.3106","","374.5606","3.75","378.3106","","","","","","","","","","","321.3106","True","","","1026.5","364.89099","368.54418","3.65319","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Asfalto AC-10","508.84778","","","75.14623","240.51018","","","","","","","","","","53.25","0.67676","59.06707","16.2","","316.45401","","369.70401","3.75","373.45401","","","","","","","","","","","316.45401","True","","","1025.3395","360.56741","364.22473","3.65733","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Diésel pesado o gasóleo","508.84778","","","82.8971","265.31731","","0.13099","13.199","","","","","","2.91806","51.5","0.67676","22.87986","6.07","","311.19197","","362.69197","3.75","366.44197","","","","","","","","","","","297.99298","True","","","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Emulsión asfáltica rápida (RR)","508.84778","","","48.5175","155.28326","","0.13099","","","","","","","0.08126","40.5","0.67676","27.00986","13.78","","196.96213","","237.46213","3.75","241.21213","","","","","","","","","","","196.96213","True","","","1005.25","236.22197","239.95238","3.73042","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Emulsión asfáltica lenta (RL)","508.84778","","","48.36913","154.8084","","0.13099","","","","","","","-0.11827","40.5","0.67676","16.55986","13.78","","185.83774","","226.33774","3.75","230.08774","","","","","","","","","","","185.83774","True","","","1012.125","223.62627","227.33135","3.70508","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","LPG (70-30)","508.84778","","","47.97672","153.55247","","0.13099","","","","-57.50277","","3.44366","0.08621","24","0.67676","21.95986","10.56","","132.90718","","156.90718","","","56.68","","","59.86","273.44718","","273","61.131","70.294","","190.40995","True","","","531.94319","294.9698","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","LPG (rico en propano)","508.84778","","","78.26005","250.47616","","","","","","-33.93036","","","","24","0.67676","22.08986","10.56","","249.87242","","273.87242","","","56.68","","","59.86","390.41242","","390","61.131","70.294","","283.80278","True","","","507.5","539.65009","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Av-Gas","508.84778","","","167.41617","535.82586","","0.13099","13.199","","","","","-77.55","-4.86111","262.75","0.67676","52.34986","30.22","","549.99135","","812.74135","","","","17.27","","","830.01135","","830","","","","536.79236","True","753.47","872.02","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Jet fuel A-1","508.84778","","","89.39594","286.11726","","","","","","","","4.69375","-1.09636","157.5","0.67676","54.12986","14.07","","358.59127","","516.09127","","","","17.27","","","533.36127","","533","","","","358.59127","True","449.16","583.02","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Jet fuel A","508.84778","","","95.8794","306.86797","","0.13099","","","","","","4.69375","-1.09636","157.5","0.67676","54.12986","14.07","","379.47296","","536.97296","","","","17.27","","","554.24296","","554","","","","379.47296","True","469.84","604.11","","","","","",""
"ET-005-2025","RE-0009-IE-2025","05-02-2025","15","23","Nafta pesada","508.84778","","","82.1642","262.97163","","","","","","","","","","38","0.67676","17.69986","10.5","","291.84825","","329.84825","3.75","333.59825","","","","","","","","","","","291.84825","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Gasolina RON 95","506.45545","","","84.61024","269.52719","","0.13794","13.84376","","","","","2.11924","-1.17921","272.25","0.67676","26.72986","10.97","","322.82553","","595.07553","3.75","598.82553","56.68","","12.77","","664.52553","1.66","666","","","","308.98177","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Gasolina RON 91","506.45545","","","79.52267","253.32066","","0.13794","13.84376","","","","","11.2019","-0.15846","260.25","0.67676","26.50986","11.17","","316.70242","","576.95242","3.75","580.70242","56.68","","12.77","","646.40242","1.66","648","","","","302.85866","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Gasolina RON 91 (pescadores)","506.45545","","","79.52267","253.32066","","","","","-17.3488","","","","","","","26.50986","","","262.48172","","262.48172","","","","","","","","","","","","","262.48172","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Diésel para uso automotriz de 50 ppm de azufre","506.45545","","","89.44159","284.91751","","0.13794","13.84376","","","","","-2.07563","-1.45748","154","0.67676","26.77986","11.64","","334.46272","","488.46272","3.75","492.21272","56.68","","12.77","","557.91272","1.66","560","","","","320.61895","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Diésel uso automotriz 50 ppm azufre (pescadores)","506.45545","","","89.44159","284.91751","","","","","-17.39986","","","","","","","26.77986","","","294.29751","","294.29751","","","","","","","","","","","","","294.29751","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Diésel marino","506.45545","","","269.77958","859.38687","","","","","","","","","","154","0.67676","26.77986","11.64","","898.48349","","1052.48349","","","","","","","","","","","","","898.48349","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Keroseno","506.45545","","","89.81821","286.11726","","0.13794","13.84376","","","","","","-0.97226","74.25","0.67676","25.10986","10.27","","335.18331","","409.43331","3.75","413.18331","56.68","","12.77","","478.88331","1.66","481","","","","321.33955","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Bunker","506.45545","","","74.72313","238.03163","","0.13794","","","","-48.46786","","0.57431","0.8786","25.25","0.67676","50.12986","13.45","","255.41123","","280.66123","3.75","284.41123","","","","","","","","","","","303.87909","True","","","989.85","283.53915","287.32761","3.78845","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Bunker Térmico ICE","506.45545","","","79.63173","253.66807","","","","","","9.1515","","","","25.25","0.67676","14.89986","3.19","","281.58619","","306.83619","","","","","","","","","","","","","272.43469","True","","","929.22","330.20833","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Bunker Térmico ICE 2","506.45545","","","76.88218","244.90931","","0.13794","","","","-23.18044","","1.59648","-5.23198","25.25","0.67676","14.89986","3.19","","236.99793","","262.24793","","","","","","","","","","","","","260.17837","True","","","967.2","271.14137","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","IFO 380","506.45545","","","163.27096","520.10207","","","","","","","","","","","0.67676","42.08986","12.72","","575.58869","","575.58869","","","","","","","","","","","","","575.58869","True","557.27","593.91","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Asfalto","506.45545","","","75.38965","240.15486","","0.13794","","","","","","5.37137","1.90485","52.75","0.67676","58.85986","16.2","","323.30563","","376.05563","3.75","379.80563","","","","","","","","","","","323.30563","True","","","1026.125","366.48131","370.13583","3.65453","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Asfalto PG-64-22","506.45545","","","74.10315","236.05667","","","","","","","","5.37137","1.90485","52.75","0.67676","58.85986","16.2","","319.06951","","371.81951","3.75","375.56951","","","","","","","","","","","319.06951","True","","","1026.5","362.22066","365.87385","3.65319","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Asfalto AC-10","506.45545","","","75.31633","239.9213","","","","","","","","","","52.75","0.67676","59.06707","16.2","","315.86513","","368.61513","3.75","372.36513","","","","","","","","","","","315.86513","True","","","1025.3395","359.50544","363.16277","3.65733","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Diésel pesado o gasóleo","506.45545","","","81.08739","258.30508","","0.13794","13.84376","","","","","","2.91806","51","0.67676","22.87986","6.07","","304.83146","","355.83146","3.75","359.58146","","","","","","","","","","","290.9877","True","","","","","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Emulsión asfáltica rápida (RR)","506.45545","","","48.94262","155.90744","","0.13794","","","","","","","0.08126","40","0.67676","27.00986","13.78","","197.59326","","237.59326","3.75","241.34326","","","","","","","","","","","197.59326","True","","","1005.25","236.35241","240.08283","3.73042","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","Emulsión asfáltica lenta (RL)","506.45545","","","49.00327","156.10066","","0.13794","","","","","","","-0.11827","40","0.67676","16.55986","13.78","","187.13694","","227.13694","3.75","230.88694","","","","","","","","","","","187.13694","True","","","1012.125","224.4159","228.12098","3.70508","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","LPG (70-30)","506.45545","","","46.25173","147.33557","","0.13794","","","","-58.28665","","3.44366","0.08621","24","0.67676","21.95986","10.56","","125.91333","","149.91333","","","56.68","","","59.86","266.45333","","266","61.131","70.294","","184.19999","True","","","532.17393","281.69988","","","",""
"ET-001-2025","RE-0004-IE-2025","22-01-2025","9","13","LPG (rico en propano)","506.45545","","","78.62973","250.47616","","","","","","-33.93036","","","","24","0.67676","22.08986","10.56","","249.87242","","273.87242","","","56.68","","","59.86","390.41242","","390","61.131","70.294","","283.80278","True","","","507.5","539.65009","","","",""
